#{"t_start": 1748223430.7390492, "env_id": "None"}
r,l,t
-4.5,21,1.186121
-6.8,21,1.361695
-10.4,21,1.533591
-6.2,21,1.70034
-2.4,21,1.859629
-7.0,21,2.019336
-10.8,21,2.178893
-7.8,21,2.328037
-7.4,21,2.490807
-3.9,21,2.729089
-7.5,21,2.891857
-10.8,21,3.045504
-5.1,21,3.214779
-6.5,21,3.377549
-4.7,21,3.531194
-8.9,21,3.678335
-7.8,21,3.847609
-6.7,21,3.994749
-4.0,21,4.148395
-6.2,21,4.317669
-10.7,21,4.480438
-8.7,21,4.634084
-11.3,21,4.796851
-8.1,21,4.950496
-7.2,21,5.097637
-5.3,21,5.266915
-4.8,21,5.420561
-3.7,21,5.58333
-4.5,21,5.736976
-6.3,21,5.899742
-5.1,21,6.053387
-8.2,21,6.22233
-6.0,21,6.369472
-4.7,21,6.538743
-11.1,21,6.70151
-8.3,21,6.855159
-6.7,21,7.002301
-4.9,21,7.155947
-7.3,21,7.325219
-7.3,21,7.472361
-2.1,21,7.641634
-5.2,21,7.788777
-7.7,21,7.942422
-5.2,21,8.105191
-4.0,21,8.274467
-3.6,21,8.428111
-8.4,21,8.581929
-4.1,21,8.74408
-1.8,21,8.906847
-2.6,21,9.060495
-2.8,21,9.207637
-5.9,21,9.376858
-4.7,21,9.523998
-8.9,21,9.677644
-5.1,21,9.846919
-5.1,21,10.009686
-3.0,21,10.178958
-5.3,21,10.332606
-5.4,21,10.495375
-6.0,21,10.649022
-5.8,21,10.81179
-5.9,21,10.981062
-10.5,21,11.134708
-9.9,21,11.428993
-5.9,21,11.589477
-9.2,21,11.756231
-7.6,21,11.922235
-5.4,21,12.075094
-10.5,21,12.227923
-3.7,21,12.387579
-10.0,21,12.568288
-6.5,21,12.715626
-4.1,21,12.884899
-7.4,21,13.049648
-6.3,21,13.216077
-2.6,21,13.374223
-4.1,21,13.533459
-4.3,21,13.686247
-7.3,21,13.859842
-8.8,21,14.012633
-6.2,21,14.172139
-4.6,21,14.316777
-3.4,21,14.470423
-9.2,21,14.639693
-6.9,21,14.802463
-10.1,21,14.956108
-7.4,21,15.118876
-6.2,21,15.272521
-2.8,21,15.435288
-4.2,21,15.588933
-5.1,21,15.742578
-0.8,21,15.920973
-6.6,21,16.074618
-1.4,21,16.221759
-7.8,21,17.068132
-1.9,21,17.227681
-6.5,21,17.396954
-6.9,21,18.491764
-10.8,21,18.662136
-9.3,21,18.810385
